titulo_noticia;time_mais_citado;qtd_citacoes_time_mais_citado;qtd_total_palavras;qtd_times_citados;link
sesi sai na frente;Sodiê Mesquita;16;539;3;https://lbf.com.br/noticias/sesi-sai-na-frente/
tudo pronto 3;Sport/Uninassau/Inst. Todos;1;150;1;https://lbf.com.br/noticias/tudo-pronto-3/
que atuacao;Santo André;24;545;2;https://lbf.com.br/noticias/que-atuacao/
nadia colhado espera bom desempenho em training camp do atlanta dream;Sport/Uninassau/Inst. Todos;5;371;1;https://lbf.com.br/noticias/nadia-colhado-espera-bom-desempenho-em-training-camp-do-atlanta-dream/
treineemcasa;Santo André;2;384;2;https://lbf.com.br/noticias/treineemcasa/
chegou o dia;Sampaio Basquete;20;752;3;https://lbf.com.br/noticias/chegou-o-dia/
lbf caixa 2020 abre com ituano basquete e santo andre apaba;Santo André;12;659;5;https://lbf.com.br/noticias/lbf-caixa-2020-abre-com-ituano-basquete-e-santo-andre-apaba/
rio claro basquete contrata a pivo cubana yuli cruz ex ourinhos;Sport/Uninassau/Inst. Todos;3;314;1;https://lbf.com.br/noticias/rio-claro-basquete-contrata-a-pivo-cubana-yuli-cruz-ex-ourinhos/
brasil supera o uruguai e chega a segunda vitoria no sul americano adulto feminino;Sport/Uninassau/Inst. Todos;3;815;2;https://lbf.com.br/noticias/brasil-supera-o-uruguai-e-chega-a-segunda-vitoria-no-sul-americano-adulto-feminino/
grande reforco;Santo André;6;370;2;https://lbf.com.br/noticias/grande-reforco/
brasileiras seguem com bom despenho na temporada 2014 da wnba;Sport/Uninassau/Inst. Todos;3;514;1;https://lbf.com.br/noticias/brasileiras-seguem-com-bom-despenho-na-temporada-2014-da-wnba/
vai brasil 4;Sampaio Basquete;6;475;4;https://lbf.com.br/noticias/vai-brasil-4/
e meu;Santo André;18;686;3;https://lbf.com.br/noticias/e-meu/
tudo azul san;Santo André;20;903;3;https://lbf.com.br/noticias/tudo-azul-san/
as rivais bielorrussia;Nenhum time identificado;0;581;0;https://lbf.com.br/noticias/as-rivais-bielorrussia/
uninassau recife repatria isabela ramona;Sport/Uninassau/Inst. Todos;11;616;4;https://lbf.com.br/noticias/uninassau-recife-repatria-isabela-ramona/
bax catanduva vence jogo de tres pontos;SESI Araraquara Basquete;4;617;4;https://lbf.com.br/noticias/bax-catanduva-vence-jogo-de-tres-pontos/
armadora natalia burian acerta com o presidente venceslau;Sport/Uninassau/Inst. Todos;3;347;1;https://lbf.com.br/noticias/armadora-natalia-burian-acerta-com-o-presidente-venceslau/
campea da lbf caixa em 2018 monica nascimento assina com o ituano;Sport/Uninassau/Inst. Todos;2;413;2;https://lbf.com.br/noticias/campea-da-lbf-caixa-em-2018-monica-nascimento-assina-com-o-ituano/
corinthiansamericana ja trabalha visando a disputa do campeonato paulista;Sport/Uninassau/Inst. Todos;1;318;1;https://lbf.com.br/noticias/corinthiansamericana-ja-trabalha-visando-a-disputa-do-campeonato-paulista/
escrita mantida;Unimed Campinas Basquete;15;553;4;https://lbf.com.br/noticias/escrita-mantida/
estreia com dna campineiro;Sport/Uninassau/Inst. Todos;9;784;3;https://lbf.com.br/noticias/estreia-com-dna-campineiro/
sesi araraquara desbanca ad santo andre no abc;Santo André;32;783;5;https://lbf.com.br/noticias/sesi-araraquara-desbanca-ad-santo-andre-no-abc/
sodie doces mesquita lsb rj acerta reforcos estrangeiros;Sodiê Mesquita;2;310;1;https://lbf.com.br/noticias/sodie-doces-mesquita-lsb-rj-acerta-reforcos-estrangeiros/
estrelas conosco;Sport/Uninassau/Inst. Todos;1;331;1;https://lbf.com.br/noticias/estrelas-conosco/
sampaio finalista;Santo André;94;1215;4;https://lbf.com.br/noticias/sampaio-finalista/
ingressos no taquaral;Unimed Campinas Basquete;2;305;2;https://lbf.com.br/noticias/ingressos-no-taquaral/
selecao brasileira feminina 3x3 18 garante vaga nas oitavas do mundial;Sport/Uninassau/Inst. Todos;3;466;1;https://lbf.com.br/noticias/selecao-brasileira-feminina-3x3-18-garante-vaga-nas-oitavas-do-mundial/
maos a obra;Sport/Uninassau/Inst. Todos;1;543;1;https://lbf.com.br/noticias/maos-a-obra/
ja e decisao;Sampaio Basquete;14;789;3;https://lbf.com.br/noticias/ja-e-decisao/
experiencia sem economia;SESI Araraquara Basquete;6;639;3;https://lbf.com.br/noticias/experiencia-sem-economia/
aectietebax catanduva acerta retorno de larissa;Sport/Uninassau/Inst. Todos;2;377;2;https://lbf.com.br/noticias/aectietebax-catanduva-acerta-retorno-de-larissa/
pegando fogo;Pontz São José Basketball;10;382;2;https://lbf.com.br/noticias/pegando-fogo/
jogadoras da apabunifeb barretos visitam casa assistencial;Santo André;2;440;2;https://lbf.com.br/noticias/jogadoras-da-apabunifeb-barretos-visitam-casa-assistencial/
the gilrs conquista titulo do brasileiro 3x3 18 feminino;Sport/Uninassau/Inst. Todos;4;525;1;https://lbf.com.br/noticias/the-gilrs-conquista-titulo-do-brasileiro-3x3-18-feminino/
na boa;Sport/Uninassau/Inst. Todos;20;585;3;https://lbf.com.br/noticias/na-boa/
o jogo 3 das finais na historia;Sampaio Basquete;11;780;3;https://lbf.com.br/noticias/o-jogo-3-das-finais-na-historia/
camara dos deputados homenageia o basquete brasileiro;Sport/Uninassau/Inst. Todos;3;400;1;https://lbf.com.br/noticias/camara-dos-deputados-homenageia-o-basquete-brasileiro/
patty impossivel;Sport/Uninassau/Inst. Todos;2;749;2;https://lbf.com.br/noticias/patty-impossivel/
selecao brasileira feminina recebe visitas ilustres na preparacao para o pan americano;Unimed Campinas Basquete;6;798;2;https://lbf.com.br/noticias/selecao-brasileira-feminina-recebe-visitas-ilustres-na-preparacao-para-o-pan-americano/
maranhao basquete chega aos playoffs da lbf 201415 em vantagem diante do sport recife;Sport/Uninassau/Inst. Todos;5;516;2;https://lbf.com.br/noticias/maranhao-basquete-chega-aos-playoffs-da-lbf-201415-em-vantagem-diante-do-sport-recife/
um super sabado na liga de basquete feminino lbf 201415;Santo André;12;547;3;https://lbf.com.br/noticias/um-super-sabado-na-liga-de-basquete-feminino-lbf-201415/
hoje tem 19h30 sodie mesquita x unisociesc blumenau;Sodiê Mesquita;13;443;3;https://lbf.com.br/noticias/hoje-tem-19h30-sodie-mesquita-x-unisociesc-blumenau/
com apoio da torcida;SESI Araraquara Basquete;13;404;4;https://lbf.com.br/noticias/com-apoio-da-torcida/
conheca o quinteto ideal lbf 2021;SESI Araraquara Basquete;4;859;5;https://lbf.com.br/noticias/conheca-o-quinteto-ideal-lbf-2021/
muito perto;Sampaio Basquete;9;723;2;https://lbf.com.br/noticias/muito-perto/
basquete jaragua disputa o campeonato catarinense a partir de 08 de agosto;Pontz São José Basketball;2;464;2;https://lbf.com.br/noticias/basquete-jaragua-disputa-o-campeonato-catarinense-a-partir-de-08-de-agosto/
boletim abcd conceitos sobre dopagem e antidopagem;Sport/Uninassau/Inst. Todos;5;1052;1;https://lbf.com.br/noticias/boletim-abcd-conceitos-sobre-dopagem-e-antidopagem/
relatos das estrelas;Santo André;8;764;3;https://lbf.com.br/noticias/relatos-das-estrelas/
corinthiansamericana inicia nova etapa na preparacao para a fase final da liga sul americana;Sport/Uninassau/Inst. Todos;2;484;1;https://lbf.com.br/noticias/corinthiansamericana-inicia-nova-etapa-na-preparacao-para-a-fase-final-da-liga-sul-americana/
rcefm net transmite o jogo entre america e presidente venceslau ao vivo;Sport/Uninassau/Inst. Todos;5;334;2;https://lbf.com.br/noticias/rcefm-net-transmite-o-jogo-entre-america-e-presidente-venceslau-ao-vivo/
confira os destaques da quarta semana da liga de basquete feminino lbf 201415;Sport/Uninassau/Inst. Todos;18;574;3;https://lbf.com.br/noticias/confira-os-destaques-da-quarta-semana-da-liga-de-basquete-feminino-lbf-201415/
sao bernardobrazolinunip e poty bax catanduva disputam primeira divisao do paulista;Santo André;2;235;4;https://lbf.com.br/noticias/sao-bernardobrazolinunip-e-poty-bax-catanduva-disputam-primeira-divisao-do-paulista/
chicago de clarissa dos santos e atlanta de erika de souza e nadia colhado vencem na rodada da wnba;Sport/Uninassau/Inst. Todos;1;474;1;https://lbf.com.br/noticias/chicago-de-clarissa-dos-santos-e-atlanta-de-erika-de-souza-e-nadia-colhado-vencem-na-rodada-da-wnba/
lbf tem novo vice presidente;Sampaio Basquete;2;383;2;https://lbf.com.br/noticias/lbf-tem-novo-vice-presidente/
unisociesc blumenau heroico;Sport/Uninassau/Inst. Todos;3;637;2;https://lbf.com.br/noticias/unisociesc-blumenau-heroico/
com v maiusculo;Santo André;6;679;3;https://lbf.com.br/noticias/com-v-maiusculo/
uma passadinha pela base 3;Sport/Uninassau/Inst. Todos;7;360;1;https://lbf.com.br/noticias/uma-passadinha-pela-base-3/
fpb divulga tabela da semifinal do campeonato paulista adulto feminino;Santo André;8;246;2;https://lbf.com.br/noticias/fpb-divulga-tabela-da-semifinal-do-campeonato-paulista-adulto-feminino/
brasiliavizinhanca contrata a alaarmadora caca martins;Pontz São José Basketball;6;332;3;https://lbf.com.br/noticias/brasiliavizinhanca-contrata-a-alaarmadora-caca-martins/
gil decisiva;Santo André;20;631;3;https://lbf.com.br/noticias/gil-decisiva/
tem promocao no facebook da lbf;Sport/Uninassau/Inst. Todos;2;157;1;https://lbf.com.br/noticias/tem-promocao-no-facebook-da-lbf/
e hoje live de lancamento da lbf 2022;Sport/Uninassau/Inst. Todos;3;307;2;https://lbf.com.br/noticias/e-hoje-live-de-lancamento-da-lbf-2022/
rio claro basquete trabalha na pre temporada visando o paulista jogos abertos e a liga de basquete feminino lbf;Sport/Uninassau/Inst. Todos;3;380;3;https://lbf.com.br/noticias/rio-claro-basquete-trabalha-na-pre-temporada-visando-o-paulista-jogos-abertos-e-a-liga-de-basquete-feminino-lbf/
vitoria sodie 2;Sodiê Mesquita;99;893;2;https://lbf.com.br/noticias/vitoria-sodie-2/
a ficha esta caindo aos poucos;Sport/Uninassau/Inst. Todos;2;545;2;https://lbf.com.br/noticias/a-ficha-esta-caindo-aos-poucos/
rodada final da primeira fase do campeonato paulista feminino sera jogada neste sabado em rio claro;Santo André;12;735;2;https://lbf.com.br/noticias/rodada-final-da-primeira-fase-do-campeonato-paulista-feminino-sera-jogada-neste-sabado-em-rio-claro/
caravana em campinas;Unimed Campinas Basquete;6;646;2;https://lbf.com.br/noticias/caravana-em-campinas/
barbara souza ja treina na apabbarretos visando a liga de basquete feminino lbf 201415;Pontz São José Basketball;2;276;3;https://lbf.com.br/noticias/barbara-souza-ja-treina-na-apabbarretos-visando-a-liga-de-basquete-feminino-lbf-201415/
atlanta dream de nadia colhado e erika de souza vence fora de casa na wnba;Sport/Uninassau/Inst. Todos;2;397;1;https://lbf.com.br/noticias/atlanta-dream-de-nadia-colhado-e-erika-de-souza-vence-fora-de-casa-na-wnba/
sport recife derrota o deportivo beraz e garante vaga na grande final do sul americano de clubes;Sport/Uninassau/Inst. Todos;7;389;1;https://lbf.com.br/noticias/sport-recife-derrota-o-deportivo-beraz-e-garante-vaga-na-grande-final-do-sul-americano-de-clubes/
uma passadinha pela base 39;Sport/Uninassau/Inst. Todos;4;738;1;https://lbf.com.br/noticias/uma-passadinha-pela-base-39/
tem promo no ar;Nenhum time identificado;0;106;0;https://lbf.com.br/noticias/tem-promo-no-ar/
tubarao abre vantagem smb;Santo André;28;814;5;https://lbf.com.br/noticias/tubarao-abre-vantagem-smb/
molecadanobasquete e o destaque desta segunda feira na liga de basquete feminino lbf 201415;Sport/Uninassau/Inst. Todos;9;554;2;https://lbf.com.br/noticias/molecadanobasquete-e-o-destaque-desta-segunda-feira-na-liga-de-basquete-feminino-lbf-201415/
nota oficial 2;Sport/Uninassau/Inst. Todos;1;180;1;https://lbf.com.br/noticias/nota-oficial-2/
melisa gretter e do sampaio basquete;Sampaio Basquete;4;370;3;https://lbf.com.br/noticias/melisa-gretter-e-do-sampaio-basquete/
sao josecolinas shopping contrata a alaarmadora uruguaia vico souto;Pontz São José Basketball;4;258;2;https://lbf.com.br/noticias/sao-josecolinas-shopping-contrata-a-alaarmadora-uruguaia-vico-souto/
guerreira karla costa espera grandes jogos e serie equilibrada diante do maranhao basquete na semifinal da lbf 201415;Sport/Uninassau/Inst. Todos;7;439;2;https://lbf.com.br/noticias/guerreira-karla-costa-espera-grandes-jogos-e-serie-equilibrada-diante-do-maranhao-basquete-na-semifinal-da-lbf-201415/
joao camargo e o novo tecnico do sesi araraquara;SESI Araraquara Basquete;12;419;2;https://lbf.com.br/noticias/joao-camargo-e-o-novo-tecnico-do-sesi-araraquara/
vera cruz campinas anuncia damiris dantas;Unimed Campinas Basquete;5;404;1;https://lbf.com.br/noticias/vera-cruz-campinas-anuncia-damiris-dantas/
xaras comandam nova vitoria da sodie mesquita;Sodiê Mesquita;40;670;4;https://lbf.com.br/noticias/xaras-comandam-nova-vitoria-da-sodie-mesquita/
noite de recordes no recife;Sport/Uninassau/Inst. Todos;10;701;4;https://lbf.com.br/noticias/noite-de-recordes-no-recife/
hoje tem 19h30 bax catanduva x unisociesc blumenau;Sport/Uninassau/Inst. Todos;3;356;4;https://lbf.com.br/noticias/hoje-tem-19h30-bax-catanduva-x-unisociesc-blumenau/
a bola vai subir 2;Santo André;12;781;4;https://lbf.com.br/noticias/a-bola-vai-subir-2/
america se recupera na lbf 201415 derrotando o presidente venceslau em casa no complemento da oitava semana;Sport/Uninassau/Inst. Todos;8;534;2;https://lbf.com.br/noticias/america-se-recupera-na-lbf-201415-derrotando-o-presidente-venceslau-em-casa-no-complemento-da-oitava-semana/
le lisboa e a craque da galera lbf 2022;Sampaio Basquete;6;369;3;https://lbf.com.br/noticias/le-lisboa-e-a-craque-da-galera-lbf-2022/
lbf apresenta neste domingo a edicao 2019 da lbf caixa;Unimed Campinas Basquete;9;522;5;https://lbf.com.br/noticias/lbf-apresenta-neste-domingo-a-edicao-2019-da-lbf-caixa/
de ponta a ponta 3;Sport/Uninassau/Inst. Todos;3;767;2;https://lbf.com.br/noticias/de-ponta-a-ponta-3/
14849 2;Sport/Uninassau/Inst. Todos;8;546;1;https://lbf.com.br/noticias/14849-2/
partida entre inter e divino abre o returno da fase inicial do campeonato paulista feminino da serie a 2;Sport/Uninassau/Inst. Todos;1;277;1;https://lbf.com.br/noticias/partida-entre-inter-e-divino-abre-o-returno-da-fase-inicial-do-campeonato-paulista-feminino-da-serie-a-2/
radio esporte web transmite ao vivo o jogo entre apabunifeb barretos e adcf unimedamericana;Sport/Uninassau/Inst. Todos;4;187;1;https://lbf.com.br/noticias/radio-esporte-web-transmite-ao-vivo-o-jogo-entre-apabunifeb-barretos-e-adcf-unimedamericana/
a quase 24h do fim da votacao jackson lidera craque da galera;Sampaio Basquete;6;440;4;https://lbf.com.br/noticias/a-quase-24h-do-fim-da-votacao-jackson-lidera-craque-da-galera/
sesi amassa;SESI Araraquara Basquete;11;397;4;https://lbf.com.br/noticias/sesi-amassa/
adcf unimedamericana treina visando o retorno da liga de basquete feminino lbf 201415;Sport/Uninassau/Inst. Todos;4;331;1;https://lbf.com.br/noticias/adcf-unimedamericana-treina-visando-o-retorno-da-liga-de-basquete-feminino-lbf-201415/
vitoria solida;Santo André;20;421;2;https://lbf.com.br/noticias/vitoria-solida/
corinthiansamericana e derrotado pela ute na abertura da fase final da liga sul americana de clubes;Sport/Uninassau/Inst. Todos;4;499;1;https://lbf.com.br/noticias/corinthiansamericana-e-derrotado-pela-ute-na-abertura-da-fase-final-da-liga-sul-americana-de-clubes/
vitoria estrelada;SESI Araraquara Basquete;7;644;3;https://lbf.com.br/noticias/vitoria-estrelada/
sequencia ampliada;Sport/Uninassau/Inst. Todos;1;442;1;https://lbf.com.br/noticias/sequencia-ampliada/
grande homenagem;Sport/Uninassau/Inst. Todos;4;340;1;https://lbf.com.br/noticias/grande-homenagem/
bem vinda de volta;Sport/Uninassau/Inst. Todos;2;606;1;https://lbf.com.br/noticias/bem-vinda-de-volta/
uninassau pe leva o titulo liga do desporto universitario de basquete 3x3;Sport/Uninassau/Inst. Todos;13;444;2;https://lbf.com.br/noticias/uninassau-pe-leva-o-titulo-liga-do-desporto-universitario-de-basquete-3x3/
maranhao basquete se reabilita na lbf 201415 ao derrotar o brasilia em casa pela setima semana;Pontz São José Basketball;4;484;3;https://lbf.com.br/noticias/maranhao-basquete-se-reabilita-na-lbf-201415-ao-derrotar-o-brasilia-em-casa-pela-setima-semana/
que encerramento;Sampaio Basquete;5;783;4;https://lbf.com.br/noticias/que-encerramento/
rio claro basquete fecha ciclo de contratacoes com mais duas jogadoras;Santo André;4;328;3;https://lbf.com.br/noticias/rio-claro-basquete-fecha-ciclo-de-contratacoes-com-mais-duas-jogadoras/
americana e america pe se garantem na semifinal da lbf 201415 e maranhao basquete iguala a serie;Sport/Uninassau/Inst. Todos;8;719;3;https://lbf.com.br/noticias/americana-e-america-pe-se-garantem-na-semifinal-da-lbf-201415-e-maranhao-basquete-iguala-a-serie/
atlanta de erika de souza derrota o minnesota de damiris dantas no brazilian night on friday;Sport/Uninassau/Inst. Todos;5;460;1;https://lbf.com.br/noticias/atlanta-de-erika-de-souza-derrota-o-minnesota-de-damiris-dantas-no-brazilian-night-on-friday/
paixao no maranhao;Sampaio Basquete;8;512;4;https://lbf.com.br/noticias/paixao-no-maranhao/
comunicado fechamento temporario do escritorio;Nenhum time identificado;0;151;0;https://lbf.com.br/noticias/comunicado-fechamento-temporario-do-escritorio/
erika e da bolivia;Sampaio Basquete;8;575;2;https://lbf.com.br/noticias/erika-e-da-bolivia/
olho nela adrianinha;Sport/Uninassau/Inst. Todos;1;901;1;https://lbf.com.br/noticias/olho-nela-adrianinha/
uninassau vence na estreia da ldu fase nacional;Sport/Uninassau/Inst. Todos;12;499;1;https://lbf.com.br/noticias/uninassau-vence-na-estreia-da-ldu-fase-nacional/
atuacao de gala 2;Sport/Uninassau/Inst. Todos;3;586;2;https://lbf.com.br/noticias/atuacao-de-gala-2/
seis e contando;Sport/Uninassau/Inst. Todos;4;635;1;https://lbf.com.br/noticias/seis-e-contando/
lance livre duda papp jogadora do basquete jaragua;Sport/Uninassau/Inst. Todos;3;205;1;https://lbf.com.br/noticias/lance-livre-duda-papp-jogadora-do-basquete-jaragua/
em parceria com o sesc uninassauamerica lanca o cestinhas do futuro nesta quinta feira;Sport/Uninassau/Inst. Todos;7;340;1;https://lbf.com.br/noticias/em-parceria-com-o-sesc-uninassauamerica-lanca-o-cestinhas-do-futuro-nesta-quinta-feira/
secretario ricardo leyser proferiu palestra em sao paulo falando sobre o esporte olimpico e seus legados;Sport/Uninassau/Inst. Todos;15;415;1;https://lbf.com.br/noticias/secretario-ricardo-leyser-proferiu-palestra-em-sao-paulo-falando-sobre-o-esporte-olimpico-e-seus-legados/
lbf na terra da copa as universiadas em caza;Sport/Uninassau/Inst. Todos;4;702;3;https://lbf.com.br/noticias/lbf-na-terra-da-copa-as-universiadas-em-caza/
a lbf 2023 esta chegando;Sodiê Mesquita;22;1479;6;https://lbf.com.br/noticias/a-lbf-2023-esta-chegando/
barretos ja trabalha na montagem do elenco para temporada 201516;Sport/Uninassau/Inst. Todos;1;300;1;https://lbf.com.br/noticias/barretos-ja-trabalha-na-montagem-do-elenco-para-temporada-201516/
lbf renova certificacao junto a secretaria especial do esporte 2;Sport/Uninassau/Inst. Todos;7;379;1;https://lbf.com.br/noticias/lbf-renova-certificacao-junto-a-secretaria-especial-do-esporte-2/
thayna a mvp da temporada;Sport/Uninassau/Inst. Todos;5;760;4;https://lbf.com.br/noticias/thayna-a-mvp-da-temporada/
jogo das estrelas lbf caixa 2023 a festa vai comecar;Sodiê Mesquita;27;1432;6;https://lbf.com.br/noticias/jogo-das-estrelas-lbf-caixa-2023-a-festa-vai-comecar/
100si araraquara;SESI Araraquara Basquete;68;1126;4;https://lbf.com.br/noticias/100si-araraquara/
triunfo emocionante;Sport/Uninassau/Inst. Todos;16;592;2;https://lbf.com.br/noticias/triunfo-emocionante/
resiliente;SESI Araraquara Basquete;13;650;2;https://lbf.com.br/noticias/resiliente/
novidades em venceslau;Pontz São José Basketball;8;606;3;https://lbf.com.br/noticias/novidades-em-venceslau/
corinthiansamericana trabalha com enfase na parte fisica focando a fase final da liga sul americana de clubes;Sport/Uninassau/Inst. Todos;1;304;1;https://lbf.com.br/noticias/corinthiansamericana-trabalha-com-enfase-na-parte-fisica-focando-a-fase-final-da-liga-sul-americana-de-clubes/
lance livre julio patricio tecnico do basquete jaragua;Sport/Uninassau/Inst. Todos;1;176;1;https://lbf.com.br/noticias/lance-livre-julio-patricio-tecnico-do-basquete-jaragua/
boa sorte meninas;Pontz São José Basketball;4;477;2;https://lbf.com.br/noticias/boa-sorte-meninas/
confira os destaques da primeira rodada do playoff quartas de final da lbf 201415;Sport/Uninassau/Inst. Todos;14;591;3;https://lbf.com.br/noticias/confira-os-destaques-da-primeira-rodada-do-playoff-quartas-de-final-da-lbf-201415/
sampaio basquete fecha com erika;Sampaio Basquete;4;317;4;https://lbf.com.br/noticias/sampaio-basquete-fecha-com-erika/
clubes aprovam novos regimentos internos da lbf;Sport/Uninassau/Inst. Todos;5;285;1;https://lbf.com.br/noticias/clubes-aprovam-novos-regimentos-internos-da-lbf/
uma passadinha pela base 44;Sport/Uninassau/Inst. Todos;3;791;2;https://lbf.com.br/noticias/uma-passadinha-pela-base-44/
duelo direto;Santo André;18;607;3;https://lbf.com.br/noticias/duelo-direto/
ituano basquete realiza testes fisicos no nar;Sport/Uninassau/Inst. Todos;6;512;1;https://lbf.com.br/noticias/ituano-basquete-realiza-testes-fisicos-no-nar/
jogadoras e comissao tecnica do americana participam de carreata em comemoracao ao titulo da lbf 201314;Sport/Uninassau/Inst. Todos;5;225;1;https://lbf.com.br/noticias/jogadoras-e-comissao-tecnica-do-americana-participam-de-carreata-em-comemoracao-ao-titulo-da-lbf-201314/
bradesco e xv jogam nesta quarta pelo campeonato paulista feminino da serie a 2;Sport/Uninassau/Inst. Todos;1;255;1;https://lbf.com.br/noticias/bradesco-e-xv-jogam-nesta-quarta-pelo-campeonato-paulista-feminino-da-serie-a-2/
sesi sp e sao bernardo jogam nesta quarta pelo campeonato paulista feminino da serie a 2;Sport/Uninassau/Inst. Todos;1;298;1;https://lbf.com.br/noticias/sesi-sp-e-sao-bernardo-jogam-nesta-quarta-pelo-campeonato-paulista-feminino-da-serie-a-2/
ab concessoes premia destaques do sesi araraquara em 2021;SESI Araraquara Basquete;6;614;4;https://lbf.com.br/noticias/ab-concessoes-premia-destaques-do-sesi-araraquara-em-2021/
noite do galo;Sport/Uninassau/Inst. Todos;9;551;2;https://lbf.com.br/noticias/noite-do-galo/
tubarao centenario;Sampaio Basquete;13;524;4;https://lbf.com.br/noticias/tubarao-centenario/
sem duvidas o que mais sinto falta e das quadras;Santo André;4;932;4;https://lbf.com.br/noticias/sem-duvidas-o-que-mais-sinto-falta-e-das-quadras/
ex atleta de basquete fabiana caetano segue perto do esporte agora como psicologa;Sport/Uninassau/Inst. Todos;10;707;1;https://lbf.com.br/noticias/ex-atleta-de-basquete-fabiana-caetano-segue-perto-do-esporte-agora-como-psicologa/
de olho em 2023;Sampaio Basquete;4;396;3;https://lbf.com.br/noticias/de-olho-em-2023/
bom teste 2;Sport/Uninassau/Inst. Todos;1;304;1;https://lbf.com.br/noticias/bom-teste-2/
sampaio correa apresenta iziane e oficializa time de basquete feminino para a lbf;Sampaio Basquete;15;647;2;https://lbf.com.br/noticias/sampaio-correa-apresenta-iziane-e-oficializa-time-de-basquete-feminino-para-a-lbf/
xv e sao bernardo jogam nesta quinta pelo paulista feminino da serie a 2;Sport/Uninassau/Inst. Todos;1;347;1;https://lbf.com.br/noticias/xv-e-sao-bernardo-jogam-nesta-quinta-pelo-paulista-feminino-da-serie-a-2/
notas das finais;Sampaio Basquete;28;534;5;https://lbf.com.br/noticias/notas-das-finais/
luiz zanon define selecao brasileira feminina para a disputa do pan americano;Unimed Campinas Basquete;2;470;2;https://lbf.com.br/noticias/luiz-zanon-define-selecao-brasileira-feminina-para-a-disputa-do-pan-americano/
comecaram bem;Nenhum time identificado;0;341;0;https://lbf.com.br/noticias/comecaram-bem/
jogo das estrelas lance contra a fome;Santo André;2;501;5;https://lbf.com.br/noticias/jogo-das-estrelas-lance-contra-a-fome/
novos ventos no recife;Sport/Uninassau/Inst. Todos;17;568;1;https://lbf.com.br/noticias/novos-ventos-no-recife/
basquete de santo andre se rende a lais elena;Santo André;10;826;3;https://lbf.com.br/noticias/basquete-de-santo-andre-se-rende-a-lais-elena/
vera cruz campinas na final;SESI Araraquara Basquete;21;576;5;https://lbf.com.br/noticias/vera-cruz-campinas-na-final/
no tempo extra;Sport/Uninassau/Inst. Todos;2;683;2;https://lbf.com.br/noticias/no-tempo-extra/
presidente venceslau quer fazer analises importantes durante o campeonato paulista;Santo André;2;427;2;https://lbf.com.br/noticias/presidente-venceslau-quer-fazer-analises-importantes-durante-o-campeonato-paulista/
maranhao basquete consegue recuperacao espetacular e derrota o sao jose fora de casa na 10a semana da lbf 201415;Pontz São José Basketball;10;498;3;https://lbf.com.br/noticias/maranhao-basquete-consegue-recuperacao-espetacular-e-derrota-o-sao-jose-fora-de-casa-na-10a-semana-da-lbf-201415/
uma passadinha pela base 53;Pontz São José Basketball;8;257;2;https://lbf.com.br/noticias/uma-passadinha-pela-base-53/
lbf academy recebe mais tres convidados ilustres;Sport/Uninassau/Inst. Todos;3;392;1;https://lbf.com.br/noticias/lbf-academy-recebe-mais-tres-convidados-ilustres/
sport recife anuncia elenco para disputa da liga de basquete feminino lbf 201415;Sport/Uninassau/Inst. Todos;9;425;2;https://lbf.com.br/noticias/sport-recife-anuncia-elenco-para-disputa-da-liga-de-basquete-feminino-lbf-201415/
nota alteracao de data de partida;Santo André;6;94;1;https://lbf.com.br/noticias/nota-alteracao-de-data-de-partida/
brasil vence a venezuela na estreia da copa america sub 16 feminina;Sport/Uninassau/Inst. Todos;1;459;1;https://lbf.com.br/noticias/brasil-vence-a-venezuela-na-estreia-da-copa-america-sub-16-feminina/
selecao brasileira feminina militar derrota os estados unidos e conquista o titulo do torneio internacional da franca;Sport/Uninassau/Inst. Todos;5;420;2;https://lbf.com.br/noticias/selecao-brasileira-feminina-militar-derrota-os-estados-unidos-e-conquista-o-titulo-do-torneio-internacional-da-franca/
confira os destaques da setima e oitava semanas da liga de basquete feminino lbf 201415;Sport/Uninassau/Inst. Todos;14;493;2;https://lbf.com.br/noticias/confira-os-destaques-da-setima-e-oitava-semanas-da-liga-de-basquete-feminino-lbf-201415/
alex montgomery reforco do sao josecolinas shopping acerta arremesso espetacular na wnba;Pontz São José Basketball;4;233;2;https://lbf.com.br/noticias/alex-montgomery-reforco-do-sao-josecolinas-shopping-acerta-arremesso-espetacular-na-wnba/
lbf nas escolas nova temporada;Santo André;6;481;4;https://lbf.com.br/noticias/lbf-nas-escolas-nova-temporada/
bruno guidorizzi deixa o santo andre apaba caoa chery;Santo André;12;375;3;https://lbf.com.br/noticias/bruno-guidorizzi-deixa-o-santo-andre-apaba-caoa-chery/
brasil derrota a coreia do sul e fica com o 13o lugar na universiade 2015;Sport/Uninassau/Inst. Todos;3;314;1;https://lbf.com.br/noticias/brasil-derrota-a-coreia-do-sul-e-fica-com-o-13o-lugar-na-universiade-2015/
uma passadinha pela base 68;Sport/Uninassau/Inst. Todos;3;349;1;https://lbf.com.br/noticias/uma-passadinha-pela-base-68/
datas finais lbf caixa 2019 confira;Unimed Campinas Basquete;18;844;4;https://lbf.com.br/noticias/datas-finais-lbf-caixa-2019-confira/
equipe sub 18 do barretos na expectativa de mais um titulo no brasileiro de basquete 3x3;Pontz São José Basketball;4;432;2;https://lbf.com.br/noticias/equipe-sub-18-do-barretos-na-expectativa-de-mais-um-titulo-no-brasileiro-de-basquete-3x3/
