titulo_noticia;time_mais_citado;qtd_citacoes_time_mais_citado;qtd_total_palavras;qtd_times_citados;link
bem vinda de volta caixa;Sport/Uninassau/Inst. Todos;7;889;6;https://lbf.com.br/noticias/bem-vinda-de-volta-caixa/
novidades e um retorno especial no ad santo andre;Santo André;6;384;2;https://lbf.com.br/noticias/novidades-e-um-retorno-especial-no-ad-santo-andre/
galo vence a setima seguida;Sport/Uninassau/Inst. Todos;2;556;1;https://lbf.com.br/noticias/galo-vence-a-setima-seguida/
vantagem decisiva;Sampaio Basquete;13;407;3;https://lbf.com.br/noticias/vantagem-decisiva/
duelo quente;Sodiê Mesquita;23;684;2;https://lbf.com.br/noticias/duelo-quente/
ninguem se cala;Sport/Uninassau/Inst. Todos;1;380;1;https://lbf.com.br/noticias/ninguem-se-cala/
vera cruz campinas contrata mvp do brasileirao sub 23;Pontz São José Basketball;2;229;3;https://lbf.com.br/noticias/vera-cruz-campinas-contrata-mvp-do-brasileirao-sub-23/
segunda vitoria;Pontz São José Basketball;3;432;2;https://lbf.com.br/noticias/segunda-vitoria/
ituano basquete x vera cruz campinas datas da semifinal;Sport/Uninassau/Inst. Todos;7;391;4;https://lbf.com.br/noticias/ituano-basquete-x-vera-cruz-campinas-datas-da-semifinal/
primeiro finalista;SESI Araraquara Basquete;9;343;3;https://lbf.com.br/noticias/primeiro-finalista/
vitoria para o ktoblumenau;SESI Araraquara Basquete;2;541;2;https://lbf.com.br/noticias/vitoria-para-o-ktoblumenau/
hoje tem 19h30 ituano basquete x sampaio basquete;Unimed Campinas Basquete;7;375;4;https://lbf.com.br/noticias/hoje-tem-19h30-ituano-basquete-x-sampaio-basquete/
ituano leva duelo rubro negro;Sport/Uninassau/Inst. Todos;10;533;2;https://lbf.com.br/noticias/ituano-leva-duelo-rubro-negro/
pra colar na lideranca;Santo André;18;704;4;https://lbf.com.br/noticias/pra-colar-na-lideranca/
lbf e na cultura;SESI Araraquara Basquete;9;741;6;https://lbf.com.br/noticias/lbf-e-na-cultura/
jogo das estrelas lbf caixa 2024 venha participar desta festa;Pontz São José Basketball;19;1101;4;https://lbf.com.br/noticias/jogo-das-estrelas-lbf-caixa-2024-venha-participar-desta-festa/
teremos jogo 3;Unimed Campinas Basquete;11;615;4;https://lbf.com.br/noticias/teremos-jogo-3/
vitoria no classico;Sport/Uninassau/Inst. Todos;17;398;2;https://lbf.com.br/noticias/vitoria-no-classico/
na prorrogacao deu ad santo andre;Santo André;12;642;3;https://lbf.com.br/noticias/na-prorrogacao-deu-ad-santo-andre/
tubarao na decisao 2;Sampaio Basquete;14;561;5;https://lbf.com.br/noticias/tubarao-na-decisao-2/
trabalho concluido em 2025;Sport/Uninassau/Inst. Todos;7;603;7;https://lbf.com.br/noticias/trabalho-concluido-em-2025/
mais uma virada do unimed;Unimed Campinas Basquete;5;411;3;https://lbf.com.br/noticias/mais-uma-virada-do-unimed/
vinganca andreense;Santo André;98;934;3;https://lbf.com.br/noticias/vinganca-andreense/
ingressos para o jogo das estrelas disponiveis a partir de segunda 24;Sport/Uninassau/Inst. Todos;4;470;2;https://lbf.com.br/noticias/ingressos-para-o-jogo-das-estrelas-disponiveis-a-partir-de-segunda-24/
bax catanduva vence com autoridade;Sodiê Mesquita;102;987;5;https://lbf.com.br/noticias/bax-catanduva-vence-com-autoridade/
lbf se reune em brasilia com ministra do esporte;Sport/Uninassau/Inst. Todos;12;464;1;https://lbf.com.br/noticias/lbf-se-reune-em-brasilia-com-ministra-do-esporte/
santo andre ainda sonha;Santo André;10;490;4;https://lbf.com.br/noticias/santo-andre-ainda-sonha/
ituano basquete vence o primeiro turno;SESI Araraquara Basquete;15;745;4;https://lbf.com.br/noticias/ituano-basquete-vence-o-primeiro-turno/
estreia com a mao direita blu;Unimed Campinas Basquete;10;724;4;https://lbf.com.br/noticias/estreia-com-a-mao-direita-blu/
boletim abcd conceitos sobre dopagem e antidopagem;Sport/Uninassau/Inst. Todos;5;1052;1;https://lbf.com.br/noticias/boletim-abcd-conceitos-sobre-dopagem-e-antidopagem/
sesi na grande final;SESI Araraquara Basquete;18;597;5;https://lbf.com.br/noticias/sesi-na-grande-final/
leao abocanha vitoria em sp;Sport/Uninassau/Inst. Todos;12;609;3;https://lbf.com.br/noticias/leao-abocanha-vitoria-em-sp/
100 sesi araraquara;SESI Araraquara Basquete;18;653;3;https://lbf.com.br/noticias/100-sesi-araraquara/
